site,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
92,4.95618486404,52.3394165039,1,75826.66666666666,485290.6666666668,6.400000000000001,399.0551191506299,11582.35898137538
93,4.855188210803333,52.3436203003,3,33427.666666666664,424531.3666666666,4.233333333333333,425.38760485267744,13618.771564385754
94,4.95080804825,52.3145256042,1,75826.66666666666,1872918.666666666,24.699999999999992,398.9031264249539,11575.844213706425
96,4.87983798981,52.3619728088,2,8638.771764534033,213377.6625839906,24.700000000000003,399.1930601495063,11588.270935512352
97,4.89516210556,52.3738822937,2,4985.916666666665,123152.14166666663,24.7,399.2659699228829,11591.395543296469
98,4.8800637722,52.3266677856,2,55467.04166666667,704431.4291666666,12.7,405.4740430396789,12081.90778598195
99,4.8942475318900005,52.3763771057,2,57599.45833333333,347781.05833333347,5.740683915166694,479.95461066826255,17255.79483250049
101,4.95441198349,52.3700714111,1,3056.7037037037035,38820.13703703703,12.7,399.2426338279327,11590.395471026435
103,4.94558811188,52.3690605164,1,2570.7004662004647,32647.89592074592,12.7,399.2364445053989,11590.130224199873
104,4.91462516785,52.332408905,1,32418.16666666666,118231.06666666668,3.3072862599000925,399.0123043633589,11580.523899532434
107,4.86623907089,52.3847084045,1,75826.66666666666,1872918.666666666,24.699999999999992,399.33229437406186,11594.237811113022
108,4.84526109695,52.3792648315,1,32418.16666666666,800728.7166666667,24.7,399.2989395802277,11592.808439247385
109,4.94456100464,52.3648834229,1,65969.875,653101.7625,9.900000000000002,399.2108738971817,11589.034371017658
110,4.871924877166666,52.38415527343333,3,34556.041666666664,342104.81250000006,3.300000000000001,531.7699856022884,18458.123933062656
111,4.94199419022,52.3612518311,1,9252.757291666669,91466.9971875,9.919887496491748,399.18864806789816,11588.081847715086
112,4.93515205383,52.3602142334,1,9782.722787577264,96848.95559701492,9.900000000000002,399.18229875737416,11587.809735529829
113,4.89688587189,52.3451423645,1,60167.0,595653.3,9.900000000000002,399.0901167244096,11583.858974515872
114,4.943434000015,52.3632392883,2,33597.875,332618.9625,4.949999999999999,517.3855302077034,17189.130740858247
115,4.91126918793,52.3599777222,1,36002.87499999999,356428.4625,9.900000000000002,399.1808515458807,11587.747712275072
117,4.880113442736667,52.34989674886666,3,113293.66666666666,1102905.6333333335,5.433333333333336,579.420010488105,22190.47294598217
119,4.91802120209,52.3699836731,1,34561.208333333336,342155.9625,9.900000000000002,399.2420966263957,11590.372449007273
120,4.94612534841,52.351710001633336,3,8389.113003478544,53829.59115360866,2.134910856054548,524.8190448606191,18271.53640914673
121,4.856672286986667,52.36612065633333,3,36001.20833333333,356411.9625,3.3000000000000007,627.1997350161566,22941.656372257534
122,4.8230919838,52.3570327759,1,3381.470518867924,33476.55813679245,9.900000000000006,399.16283321449225,11586.975494843307
124,4.91754817963,52.3525924683,1,56646.375,560799.1125,9.900000000000002,399.13567194496295,11585.811419525997
125,4.925369501115,52.35571861265,2,12512.458333333332,123873.3375,4.950000000000001,485.6406112244189,17559.04270972657
126,4.86828517914,52.3755149841,1,58257.79166666666,576752.1375000001,9.900000000000002,399.2759694686601,11591.824071141013
127,4.871963024139999,52.38338088985,2,10948.20942982456,72623.54035087721,8.150000000000004,474.2332185284676,16190.731638112426
128,4.9209151268,52.3506317139,1,7405.458333333332,73314.0375,9.900000000000002,399.12368044522174,11585.29748272156
129,4.85411691666,52.3647727966,1,104794.58333333331,1037466.375,9.900000000000002,399.2101967747177,11589.005352053537
130,4.96341514587,52.323551178,1,55746.62499999999,551891.5875000001,9.900000000000004,398.95821251862833,11578.205403861894
131,4.86890077591,52.3657341003,1,53165.583333333336,526339.2750000001,9.900000000000002,399.21608088576585,11589.257522936909
132,4.88237476349,52.3260612488,1,105216.29166666669,1041641.2875,9.900000000000002,398.9735378342796,11578.862288422
134,4.87444877625,52.3656578064,1,36001.541666666664,356415.2625,9.900000000000002,399.2156138793321,11589.237508847593
135,4.8532037735,52.3711967468,1,108083.66666666669,1070028.2999999998,9.900000000000002,399.2495242895495,11590.690764407518
136,4.9405012130733335,52.35396830243334,3,85928.50302185482,787130.8539378835,7.568244189387883,591.3501980431679,23105.470137659577
137,4.782997369765,52.35220909115,2,20790.82056994071,176606.49606158413,8.152366284081825,425.4966367852628,13524.673759495565
138,4.94099378586,52.3730163574,1,37713.74999999999,373366.125,9.900000000000002,399.2606668385026,11591.16827997628
139,4.9369025230400005,52.3508415222,2,38425.49999999999,380412.45,4.950000000000001,522.3369927068185,17359.421545154062
140,4.88673877716,52.3491439819,1,7620.450568852051,75584.81279509686,9.908211685704998,399.1145828180088,11584.907570234978
141,4.87298202515,52.3839378357,1,60387.99999999999,597841.2000000001,9.900000000000002,399.32757212243325,11594.03544754524
142,4.923969984055,52.35560417175,2,63150.708333333336,625192.0125000001,4.950000000000001,463.3495484916171,14706.396841684042
144,4.87610721588,52.3490638733,1,12343.156249999998,122197.246875,9.900000000000002,399.1140929679063,11584.88657583708
145,4.92268610001,52.3575248718,1,60426.458333333336,598221.9375000001,9.900000000000002,399.1658438187888,11587.10452189723
147,4.89065790176,52.3817749023,1,10519.343749999998,104141.503125,9.900000000000004,399.3143183065316,11593.467476106209
148,4.89739322662,52.3458862305,1,4922.074404761904,48728.53660714286,9.900000000000004,399.09466429588326,11584.05388069174
149,4.85846805573,52.3781051636,1,54658.04166666666,541114.6125,9.900000000000002,399.29183532969535,11592.503993012238
150,4.871041138966668,52.34608078,3,47880.57133681189,426648.986986942,7.568244189387883,411.616811108608,12178.664040324256
151,4.91373491287,52.3561782837,1,10651.057291666666,105445.4671875,9.900000000000006,399.1576057186722,11586.751456778822
152,4.92103815079,52.3576889038,1,13537.708333333332,134023.31250000003,9.9,399.1668473752612,11587.147531743623
153,4.92706489563,52.3555908203,1,9041.415632951654,90087.10226622137,10.020540675957644,399.1540119750794,11586.597437047149
154,4.881076335906666,52.3544883728,3,43076.32133681188,397232.9536536087,5.434910856054549,654.2392524511627,24046.83423892304
155,4.872833013535001,52.38185310365,2,106199.70833333331,1051377.1125,4.95,488.2956805756044,16289.03918012021
156,4.88868713379,52.3517036438,1,111726.41666666669,1106091.525,9.900000000000002,399.13023592663353,11585.578440792604
157,4.90955400467,52.3577690125,1,59053.875,584633.3625,9.900000000000002,399.1673374867227,11587.168536689858
159,4.85078191757,52.3670120239,2,46102.86300347854,427195.71615360864,8.152366284081824,519.0441696214708,17978.141962116697
160,4.8766078949,52.3772506714,1,107658.91666666669,1065823.275,9.900000000000002,399.2866009478245,11592.279677477998
162,4.84354925156,52.36460495,1,75826.66666666666,750684.0000000001,9.900000000000002,399.2091694273596,11588.961323714557
163,4.8478313684500005,52.372920989975,4,82162.96401043564,725745.460960826,7.278549426122733,524.00773577601,18869.95843274465
164,4.874337577817999,52.35750503542,5,130318.64267362372,966315.973973884,4.54094651363273,575.6516573647052,21531.72680942008
165,4.86340522766,52.3265457153,1,1459.999999999999,14453.999999999996,9.900000000000004,398.9764960358745,11578.989084266164
166,4.88231277466,52.3813934326,1,9322.13698630137,92144.36866438355,9.911592743844698,399.31198095812726,11593.367312241026
167,4.89292812347,52.3507614136,1,56867.583333333336,562989.0750000001,9.900000000000002,399.1244736120084,11585.331476711546
169,4.88712596893,52.3542709351,1,57365.04166666667,567913.9125,9.900000000000002,399.1459382057657,11586.25141228118
170,4.882100582125,52.35385513305,2,729.9999999999995,4672.0,3.2000000000000024,424.61748258465246,12826.703172308136
173,4.88551092148,52.3820152283,1,6983.833333333332,44739.2,6.404469852622713,399.3157908656047,11593.530580539042
176,4.99260282516,52.3592414856,1,9811.056685042942,62790.76278427483,6.400000000000001,399.17634665217474,11587.554645388793
178,4.90011548996,52.35353660585,2,16537.901411587405,105842.56903415945,6.400000000000002,482.4552935630993,17288.781305561093
179,4.87470912933,52.3563461304,1,8389.113003478544,53829.59115360866,6.404732568163645,399.1586325270951,11586.79546340516
180,4.91611003876,52.3862609863,1,620.4925742574253,3968.219141914192,6.399780480199569,399.3418096997404,11594.645571414858
185,4.85379934311,52.37289301556666,3,5655.583333333332,36195.73333333334,2.133333333333334,482.0068207445389,17032.805154978872
188,4.91708469391,52.4099769592,2,10453.999999999998,66905.60000000002,3.200000000000002,406.0906601810588,12112.967489676888
189,4.8915271759,52.3440093994,1,1679.9166666666658,11434.133333333331,6.81670681644338,399.0831908293797,11583.56213377345
191,4.88105940819,52.38211250305,2,6890.708333333332,44100.53333333334,3.2000000000000024,433.38825380347294,14028.630259101816
192,4.96640777588,52.3046646118,1,9811.056685042942,62790.76278427483,6.400000000000001,398.84297694663286,11573.265897700274
194,4.895546913145,52.3412055969,2,151653.33333333326,970581.333333333,3.2000000000000006,429.4751029187582,13814.5013455132
