site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
1794,4.95611000061,52.3222236633,1,5624.041666666666,35993.866666666676,6.400000000000004,398.95010830640615,11577.858032849545
1795,4.87091302872,52.3495979309,1,5267.166666666666,33709.86666666667,6.400000000000004,399.1173586697397,11585.02653989368
1796,4.85701417923,52.3766746521,1,0.0,0.0,0.0,399.283072571757,11592.12847113176
1797,4.847816149393332,52.348556518533336,3,69344.74999999999,670213.0874999998,5.4333333333333345,502.7066589493733,17227.556455106638
1798,4.89133119583,52.3463897705,1,0.0,0.0,0.0,399.0977427737563,11584.185822082958
1799,4.96511411667,52.3219871521,1,9811.056685042942,62790.76278427483,6.400000000000001,398.948664523224,11577.796147772273
1800,4.91347312927,52.3553276062,1,0.0,0.0,0.0,399.1524018357413,11586.528430017936
1801,4.96876096725,52.2978668213,1,0.0,0.0,0.0,398.8015337416385,11571.489373596043
1802,4.79709291458,52.3512458801,1,0.0,0.0,0.0,399.1274363793171,11585.4584565596
1803,4.93830394745,52.4033546448,2,5565.416666666665,35618.66666666667,3.2000000000000024,399.4466328492812,11599.137402118324
1804,4.83897018433,52.3652191162,1,0.0,0.0,0.0,399.2129286392569,11589.12242962724
1805,4.89525413513,52.3519477844,1,0.0,0.0,0.0,399.1317290510994,11585.642433716805
1806,4.8531332016,52.3549575806,2,0.0,0.0,0.0,399.1501383499773,11586.431421844136
1807,4.94652986526,52.4018783569,1,0.0,0.0,0.0,399.4375754145576,11598.749288650122
1808,4.77291584015,52.3528747559,1,5446.833333333332,34859.73333333334,6.400000000000004,399.1373984669045,11585.885415206674
1809,4.90821886063,52.3477973938,1,0.0,0.0,0.0,399.1063490272667,11584.554678785924
1810,4.94341301918,52.36131858825,2,52781.43434029042,338079.7156405507,6.402366284081824,436.21514946639576,14302.857073771343
1811,4.86531496048,52.3531761169,1,0.0,0.0,0.0,399.1392416804874,11585.964412014497
1812,4.91794776917,52.3402137756,1,0.0,0.0,0.0,399.05999148120856,11582.567811002056
1813,4.92023515701,52.3694000244,1,598.1529865447515,3875.912447219744,6.424839469647168,399.238523138766,11590.219305301192
1814,4.81355309486,52.3527545929,2,74197.11300347855,475000.7911536086,6.402366284081822,449.7694537110148,14287.761729475693
1815,4.85140180588,52.3523178101,2,0.0,0.0,0.0,399.1339921115234,11585.739424718382
1816,4.84470701218,52.3473587036,1,5400.874999999999,34565.60000000001,6.400000000000004,399.1036667806192,11584.439720185808
1817,4.89296722412,52.3759994507,1,0.0,0.0,0.0,399.27893682055975,11591.951235729844
1818,4.87635993958,52.3916969299,1,0.0,0.0,0.0,399.375132299735,11596.073526367118
1819,4.81055879593,52.3737792969,1,0.0,0.0,0.0,399.2653391456547,11591.368511416182
