charger_id,longitude,latitude,site_id,total_duration,total_volume,avg_power
1004881195,4.96987390518,52.3707351685,454,0.0,0.0,0.0
1004881265,4.96990346909,52.3707351685,454,0.0,0.0,0.0
1004881345,4.96993255615,52.3707351685,454,0.0,0.0,0.0
1004881375,4.96996212006,52.3707351685,454,9811.056685042942,62790.76278427483,6.400000000000001
1004881395,4.96999168396,52.3707351685,454,0.0,0.0,0.0
1004881415,4.97002077103,52.3707351685,454,0.0,0.0,0.0
1009491765,4.96981477737,52.3707351685,454,1972.3290378006864,12622.905841924397,6.400000000000004
1009491915,4.96984434128,52.3707351685,454,1680.166666666666,10753.066666666668,6.400000000000005
1009492115,4.96987390518,52.3707351685,454,2072.7682320106774,13239.050018201677,6.396076649036144
1009492185,4.96990346909,52.3707351685,454,3472.666666666665,22225.066666666666,6.400000000000003
1009492235,4.96993255615,52.3707351685,454,1938.5457516339861,12406.692810457516,6.400000000000004
1009492275,4.96996212006,52.3707351685,454,1791.5576923076917,11465.96923076923,6.400000000000004
1009492365,4.96999168396,52.3707351685,454,4811.3345238095235,30792.540952380954,6.400000000000004
1009492505,4.97002077103,52.3707351685,454,2103.458333333333,13471.733333333332,6.413093884973862
1004881115,4.91816091537,52.4020576477,455,11386.666666666664,72874.66666666669,6.400000000000003
1004881125,4.91930294037,52.3386573792,456,2885.1666666666656,18394.13333333333,6.393155637372181
1004888945,4.91957378387,52.3385543823,456,680.6111111111106,4355.9111111111115,6.400000000000006
1009496455,4.91957378387,52.3385543823,456,11061.168859649122,70791.48070175441,6.400000000000004
1004881155,4.83762407303,52.3834648132,457,0.0,0.0,0.0
1009491055,4.83762407303,52.3834648132,457,0.0,0.0,0.0
1004881175,4.90281200409,52.3535346985,458,10799.566666666666,69117.22666666668,6.400000000000004
1004881205,4.86305809021,52.3526535034,459,0.0,0.0,0.0
1004881215,4.86071777344,52.3588485718,460,5001.5765765765755,32010.090090090096,6.400000000000004
1004881235,4.99741268158,52.2995491028,461,9277.513020833332,59376.08333333334,6.400000000000004
1004881245,4.93893480301,52.3627052307,462,9811.056685042942,62790.76278427483,6.400000000000001
1004881255,4.84735202789,52.3576698303,463,0.0,0.0,0.0
1004891395,4.84735107422,52.3575782776,463,0.0,0.0,0.0
1004901195,4.84735202789,52.3574867249,463,673.0416666666663,4304.266666666666,6.6248360546858365
