charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
157063,114.149952,22.618932,251,86870.00000000001,608089.9999999999,7.0
157064,114.150084,22.619093,251,51100.0,357700.0000000002,7.000000000000001
91605,114.150084,22.619093,251,53174.36548846342,372220.55841924396,7.0
157066,113.983395,22.53531,252,30660.0,214620.00000000003,7.000000000000001
91609,113.983395,22.53531,252,92704.87824675324,648934.1477272727,7.0
157067,114.229526,22.730965,253,25550.0,178850.0000000001,7.000000000000001
91610,114.229526,22.730965,253,94144.45833333333,659011.2083333334,7.0
157068,114.231861,22.731066,254,10220.0,71540.00000000003,7.000000000000001
91611,114.231861,22.731066,254,161991.8333333333,1518251.0000000002,8.705350251646093
157069,114.046855,22.598652,255,40880.0,286160.0000000001,7.000000000000001
91612,114.046855,22.598652,255,56915.69083768465,398409.83586379257,7.0
157070,114.044574,22.597133,256,5839.999999999999,40879.99999999999,6.999999999999999
91613,114.044574,22.597133,256,10656.146708683471,74593.02696078432,7.0
157071,114.107833,22.559771,257,10220.0,71540.00000000003,7.000000000000001
91615,114.107833,22.559771,257,12443.158683205396,87102.11078243777,7.0
157072,114.115226,22.534342,258,5110.0,35770.000000000015,7.000000000000001
91617,114.115226,22.534342,258,89387.70833333333,625713.9583333334,7.0
157073,114.188975,22.648847,259,35770.000000000015,250389.99999999997,7.0
91618,114.188975,22.648847,259,81249.27798507463,568744.9458955223,7.0
157074,114.10666,22.569612,260,5839.999999999999,40879.99999999999,6.999999999999999
91619,114.10666,22.569612,260,5993.090355586677,41951.63248910675,7.000000000000002
157075,114.126695,22.540041,261,10220.0,71540.00000000003,7.000000000000001
157076,114.14202,22.55538,262,5110.0,35770.000000000015,7.000000000000001
91621,114.14202,22.55538,262,6751.575085188713,47261.02559632099,7.0
157077,114.238233,22.742955,263,20439.999999999996,143080.00000000006,7.000000000000001
91622,114.238233,22.742955,263,77700.81764069264,543905.7234848485,7.0
157078,114.060394,22.567143,264,0.0,0.0,0.0
91623,114.060394,22.567143,264,6828.916666666665,47814.66666666666,7.000603301259576
157079,113.89237,22.48691,265,45990.0,321930.00000000006,7.000000000000001
91624,113.89237,22.48691,265,45258.77297310364,316811.4108117255,7.0
157080,114.105736,22.554161,266,30660.0,214620.00000000003,7.000000000000001
91626,114.105736,22.554161,266,31547.399999999998,220831.8,7.0
157081,114.098984,22.552116,267,5110.0,17885.000000000007,3.5000000000000004
91627,114.098984,22.552116,267,8199.025090415911,38011.156909282705,4.4340007237555765
157082,114.207224,22.658614,268,5110.0,17885.000000000007,3.5000000000000004
91628,114.207224,22.658614,268,5841.999999999998,20446.999999999996,3.5
157083,114.200326,22.640714,269,15330.0,107310.00000000001,7.000000000000001
91629,114.200326,22.640714,269,99113.04166666667,693791.2916666666,7.0
157084,114.10187,22.5525,270,0.0,0.0,0.0
91630,114.10187,22.5525,270,2840.541666666665,19883.791666666664,7.000000000000001
157087,114.115531,22.536688,271,5110.0,35770.000000000015,7.000000000000001
91633,114.115531,22.536688,271,9888.090806142964,69216.63564300073,7.0
157088,114.02169,22.542135,272,5110.0,35770.000000000015,7.000000000000001
91635,114.02169,22.542135,272,5088.958333333331,35622.708333333336,7.000000000000002
157089,114.052006,22.530039,273,5110.0,35770.000000000015,7.000000000000001
157090,114.049625,22.518818,274,38689.99999999999,270830.00000000006,7.0
157091,113.931223,22.493366,275,5110.0,35770.000000000015,7.000000000000001
91637,113.931223,22.493366,275,6590.791666666664,46135.541666666664,7.000000000000001
157092,113.804285,22.743436,276,5110.0,35770.000000000015,7.000000000000001
91639,113.804285,22.743436,276,8344.364285714284,58414.92499999999,7.00020181789875
157093,114.124197,22.575963,277,38689.99999999999,270830.00000000006,7.0
91640,114.124197,22.575963,277,4378.499999999998,30649.499999999996,7.000000000000001
157094,113.917463,22.573683,278,5839.999999999999,40879.99999999999,6.999999999999999
91641,113.917463,22.573683,278,4684.958333333332,32794.70833333333,7.000000000000002
157095,114.104966,22.546067,279,10220.0,71540.00000000003,7.000000000000001
91643,114.104966,22.546067,279,5662.019480519479,39634.13636363636,7.000000000000001
157096,114.124529,22.551752,280,5110.0,35770.000000000015,7.000000000000001
91644,114.124529,22.551752,280,10752.755902777775,75269.29131944444,7.0
157097,114.126329,22.578417,281,25550.0,178850.0000000001,7.000000000000001
91646,114.126329,22.578417,281,24571.867840407012,172003.0748828491,7.0
157098,114.127926,22.577798,282,10220.0,71540.00000000003,7.000000000000001
91647,114.127926,22.577798,282,6339.33505154639,44375.345360824744,7.0
157100,114.234841,22.550737,283,5109.999999999999,35770.00000000001,7.0
91649,114.234841,22.550737,283,3862.666666666665,27038.666666666664,7.000000000000002
157102,114.307942,22.601194,284,5839.999999999999,40879.99999999999,6.999999999999999
91651,114.307942,22.601194,284,11561.02861019313,80927.20027135195,7.0
157103,114.310679,22.599071,285,2189.9999999999995,15329.999999999998,7.000000000000001
91652,114.310679,22.599071,285,4635.815777576852,32450.71044303797,7.000000000000002
157104,114.370015,22.60667,286,5110.0,35770.000000000015,7.000000000000001
91653,114.370015,22.60667,286,10084.204282407405,70589.42997685185,7.0
157105,114.120736,22.684912,287,3650.0000000000005,25549.99999999999,7.0
91654,114.120736,22.684912,287,4762.812499999998,33339.68749999999,7.000000000000001
157106,114.225042,22.722649,288,20439.999999999996,143080.00000000006,7.000000000000001
91656,114.225042,22.722649,288,27806.536507936504,194645.75555555554,7.0
157107,114.251442,22.710848,289,5110.0,35770.000000000015,7.000000000000001
91657,114.251442,22.710848,289,15182.169047619047,106275.18333333332,7.0
157108,114.251553,22.710296,290,51100.0,357700.0000000002,7.000000000000001
91658,114.251553,22.710296,290,57688.500691748115,403819.50484223675,7.0
157109,114.121059,22.597764,291,15330.0,107310.00000000001,7.000000000000001
91659,114.121059,22.597764,291,25398.372451226987,177764.1071585889,6.999612512430487
157110,113.92893,22.505508,292,10220.0,71540.00000000003,7.000000000000001
91660,113.92893,22.505508,292,23339.288807069217,163375.02164948455,7.0
157111,114.05142,22.517507,293,0.0,0.0,0.0
91662,114.05142,22.517507,293,0.0,0.0,0.0
157112,114.140972,22.614081,294,5110.0,35770.000000000015,7.000000000000001
157113,114.278025,22.728334,295,5839.999999999999,40879.99999999999,6.999999999999999
91663,114.278025,22.728334,295,8317.262515262515,58220.8376068376,7.0
157114,114.067942,22.570995,296,15330.0,107310.00000000001,7.000000000000001
91665,114.067942,22.570995,296,67635.04166666667,473445.2916666666,7.0
157115,114.051237,22.53791,297,5839.999999999999,40879.99999999999,6.999999999999999
91666,114.051237,22.53791,297,10718.083333333332,75026.58333333333,7.0
157116,114.064723,22.520741,298,10220.0,71540.00000000003,7.000000000000001
91667,114.064723,22.520741,298,26730.775296782253,187115.42707747576,7.0
157117,114.141662,22.561583,299,15330.0,107310.00000000001,7.000000000000001
91668,114.141662,22.561583,299,14678.33333333333,102748.33333333331,7.0
157118,114.105277,22.545241,300,10220.0,71540.00000000003,7.000000000000001
91669,114.105277,22.545241,300,8128.173109965634,56897.21176975945,7.0
157119,113.959641,22.569406,301,3650.0000000000005,25549.99999999999,7.0
91670,113.959641,22.569406,301,5772.275974025972,40405.931818181816,7.000000000000002
157120,114.063747,22.524166,302,5110.0,35770.000000000015,7.000000000000001
91671,114.063747,22.524166,302,16886.101288659793,118126.29235395188,6.999107532156094
157121,113.802875,22.689785,303,20439.999999999996,143080.00000000006,7.000000000000001
91673,113.802875,22.689785,303,23932.463328424154,167527.24329896903,7.0
157122,113.876198,22.769367,304,5109.999999999999,35770.00000000001,7.0
91674,113.876198,22.769367,304,6757.656249999999,47303.59375,7.0
157123,114.249002,22.728625,305,5110.0,35770.000000000015,7.000000000000001
91676,114.249002,22.728625,305,6741.9131944444425,47193.39236111111,7.0
157124,114.227929,22.703162,306,15330.0,107310.00000000001,7.000000000000001
91677,114.227929,22.703162,306,63346.25,443423.75,7.0
157125,114.097899,22.564484,307,5110.0,35770.000000000015,7.000000000000001
91680,114.097899,22.564484,307,18723.661171215634,131065.62819850944,7.0
157126,114.145044,22.695784,308,15330.0,107310.00000000001,7.000000000000001
91681,114.145044,22.695784,308,11967.143939393938,83770.00757575755,7.0
157127,114.267006,22.714658,309,10219.999999999998,71540.00000000001,7.000000000000001
157128,114.102366,22.536434,310,5110.0,17885.000000000007,3.5000000000000004
91684,114.102366,22.536434,310,17229.37551546392,60302.814304123705,3.5
157129,114.051028,22.707894,311,5839.999999999999,40879.99999999999,6.999999999999999
90636,114.050993,22.707962,311,5211.916666666665,18241.70833333333,3.5
91685,114.051028,22.707894,311,7825.95833333333,54929.29166666666,7.0073150570848775
157130,113.9135,22.518234,312,15330.0,71540.00000000003,4.666666666666667
91686,113.9135,22.518234,312,11468.488936296168,57513.99506013745,4.9904782535572325
157131,114.083568,22.539208,313,5110.0,35770.000000000015,7.000000000000001
91687,114.083568,22.539208,313,5414.643470790376,37902.504295532635,7.0
157132,114.107729,22.535133,314,5110.0,35770.000000000015,7.000000000000001
157133,114.296664,22.730438,315,5110.0,35770.000000000015,7.000000000000001
157134,114.109765,22.58963,316,5839.999999999999,40879.99999999999,6.999999999999999
91691,114.109765,22.58963,316,4089.99736703528,28629.981569246967,7.000000000000002
157135,114.111163,22.591227,317,5839.999999999999,40879.99999999999,6.999999999999999
91692,114.111163,22.591227,317,11017.043981481482,77119.30787037036,7.000000000000002
157136,114.047092,22.54791,318,3650.0000000000005,25549.99999999999,7.0
91693,114.047092,22.54791,318,5695.246505376343,39866.72553763441,7.000000000000001
157137,114.107023,22.595678,319,10220.0,71540.00000000003,7.000000000000001
91694,114.107023,22.595678,319,27251.520324005887,190760.64226804124,7.0
157138,114.107556,22.594503,320,10220.0,71540.00000000003,7.000000000000001
91695,114.107556,22.594503,320,11766.092857142856,82362.65,7.0
157139,114.02549,22.523506,321,15330.0,107310.00000000001,7.000000000000001
91696,114.02549,22.523506,321,13999.02976190476,97872.74999999999,6.997340523395299
157140,114.025571,22.523102,322,20439.999999999996,143080.00000000006,7.000000000000001
91697,114.025571,22.523102,322,31358.067173948617,219506.4702176403,7.0
157141,114.127089,22.56704,323,5109.999999999999,35770.00000000001,7.0
91698,114.127089,22.56704,323,3673.4999999999986,25714.5,7.000000000000002
157142,114.043632,22.571679,324,729.9999999999995,5109.999999999999,7.000000000000001
91699,114.043632,22.571679,324,4107.791666666665,28754.54166666666,7.000000000000002
157143,114.104934,22.545534,325,3650.0000000000005,25549.99999999999,7.0
91700,114.104934,22.545534,325,4089.8094729344716,28628.666310541306,7.000000000000001
157144,114.108547,22.540539,326,10220.0,71540.00000000003,7.000000000000001
91701,114.108547,22.540539,326,12555.716249386353,87890.01374570445,7.0
157145,114.327669,22.681133,327,91980.0,643860.0000000001,7.000000000000001
91702,114.327669,22.681133,327,176149.22857142857,1233044.5999999999,7.0
157146,114.338572,22.684618,328,56210.00000000001,393470.0,7.0
157147,114.129235,22.559604,329,3649.9999999999977,25549.99999999999,7.000000000000001
91703,114.129235,22.559604,329,5318.374999999999,37228.625,7.000000000000002
157148,113.944887,22.541484,330,5110.0,35770.000000000015,7.000000000000001
157149,113.937401,22.520969,331,3650.0000000000005,25550.0,7.0
91705,113.937401,22.520969,331,5125.833333333331,35883.74999999999,7.000099790440077
157150,113.850167,22.593366,332,5110.0,35770.000000000015,7.000000000000001
91706,113.850167,22.593366,332,8098.497680412369,56689.48376288659,7.0
157151,114.137044,22.583252,333,5839.999999999999,40879.99999999999,6.999999999999999
91707,114.137044,22.583252,333,15355.833333333332,107490.83333333333,7.0
157152,113.891701,22.573339,334,11679.999999999998,81759.99999999999,6.999999999999999
91708,113.891701,22.573339,334,8399.414915966383,58795.9044117647,7.000000000000001
157153,113.829897,22.732951,335,11679.999999999998,81759.99999999999,6.999999999999999
91709,113.829897,22.732951,335,11342.503030303029,79397.5212121212,7.0
157154,113.888291,22.489926,336,10220.0,71540.00000000003,7.000000000000001
91710,113.888291,22.489926,336,28134.25960898658,196939.8172629061,7.0
157155,114.107042,22.555516,337,5110.0,35770.000000000015,7.000000000000001
91712,114.107042,22.555516,337,34155.806578301424,239090.64604810995,7.0
157156,114.096934,22.540144,338,3650.0000000000005,25549.99999999999,7.0
157157,113.95699,22.569623,339,5110.0,35770.000000000015,7.000000000000001
157158,113.919356,22.540094,340,51100.0,357700.0000000002,7.000000000000001
91713,113.919356,22.540094,340,64873.85259740259,454116.96818181814,7.0
157159,114.216779,22.713865,341,3650.0000000000005,25549.99999999999,7.0
91714,114.216779,22.713865,341,11140.084001651268,77980.58801155888,7.0
157160,114.01144,22.632498,342,5110.0,35770.000000000015,7.000000000000001
91715,114.01144,22.632498,342,9042.614898989897,63298.304292929286,7.0
157161,114.041317,22.552652,343,5839.999999999999,40879.99999999999,6.999999999999999
91716,114.041317,22.552652,343,7080.261814574313,49561.8327020202,7.000000000000002
157162,113.860693,22.575073,344,1459.999999999999,10219.999999999998,7.000000000000001
91718,113.860693,22.575073,344,3756.583333333332,26296.08333333333,7.000000000000002
157163,113.858206,22.575802,345,81760.0,822710.0000000003,10.062500000000002
91719,113.858206,22.575802,345,125780.41376411388,1412636.4899250234,11.235307145854096
157164,114.114883,22.650269,346,30660.0,214620.00000000003,7.000000000000001
91721,114.114883,22.650269,346,123609.7885616102,865268.5199312714,7.0
157165,114.117167,22.648621,347,5110.0,35770.000000000015,7.000000000000001
91722,114.117167,22.648621,347,39348.333783810136,275438.336486671,7.0
157166,114.143938,22.605798,348,25550.0,178850.0000000001,7.000000000000001
91723,114.143938,22.605798,348,39137.97605547374,273965.8323883161,7.0
157167,114.11246,22.651252,349,3650.0000000000005,25549.99999999999,7.0
157168,114.014566,22.562702,350,45990.0,321930.00000000006,7.000000000000001
157169,113.955284,22.578516,351,5110.0,35770.000000000015,7.000000000000001
91725,113.955284,22.578516,351,4984.9255050505035,34894.478535353526,7.000000000000002
157170,113.881923,22.563732,352,25550.0,178850.0000000001,7.000000000000001
91726,113.881923,22.563732,352,75672.54166666667,529707.7916666667,7.0
157171,114.034562,22.65901,353,5110.0,35770.000000000015,7.000000000000001
91728,114.034562,22.65901,353,13638.653565199786,95470.57495639852,7.0
157172,114.041581,22.610124,354,15330.0,107310.00000000001,7.000000000000001
157173,113.816086,22.735424,355,5839.999999999999,40879.99999999999,6.999999999999999
91729,113.816086,22.735424,355,5271.791666666665,36902.541666666664,7.000000000000001
157174,113.816457,22.737977,356,5110.0,35770.000000000015,7.000000000000001
91730,113.816457,22.737977,356,14461.467857142856,101230.275,7.0
157175,113.833452,22.727181,357,0.0,0.0,0.0
91731,113.833452,22.727181,357,0.0,0.0,0.0
157176,114.043763,22.603162,358,10220.0,71540.00000000003,7.000000000000001
91732,114.043763,22.603162,358,10374.211904761903,72619.48333333332,7.0
157177,114.095035,22.552091,359,5110.0,35770.000000000015,7.000000000000001
91734,114.095035,22.552091,359,7674.248949579831,53719.742647058825,7.000000000000001
157178,114.124909,22.611117,360,5110.0,35770.000000000015,7.000000000000001
91737,114.124909,22.611117,360,10586.98106060606,74108.86742424242,7.0
157179,114.127152,22.612619,361,15330.0,107310.00000000001,7.000000000000001
91738,114.127152,22.612619,361,11481.985544217685,80373.8988095238,7.0
157180,114.128721,22.623946,362,35770.000000000015,250389.99999999997,7.0
91739,114.128721,22.623946,362,177292.625,1241048.375,7.0
157181,114.130425,22.624973,363,10220.0,71540.00000000003,7.000000000000001
91740,114.130425,22.624973,363,102910.99999999999,720377.0,7.0
157182,114.043558,22.605921,364,5839.999999999999,40879.99999999999,6.999999999999999
91741,114.043558,22.605921,364,12557.250859106527,87900.7560137457,7.0
157183,113.886103,22.509264,365,35770.000000000015,250389.99999999997,7.0
91742,113.886103,22.509264,365,59517.09166666666,416619.64166666655,7.0
157184,113.886514,22.508678,366,30660.0,214620.00000000003,7.000000000000001
91743,113.886514,22.508678,366,50420.93571428571,352946.55,7.0
157185,113.886698,22.510958,367,10220.0,71540.00000000003,7.000000000000001
91744,113.886698,22.510958,367,7087.370571966158,49611.594003763115,7.0
157186,113.887706,22.509936,368,35770.000000000015,250389.99999999997,7.0
91745,113.887706,22.509936,368,17524.126957349636,122668.88870144746,7.0
157187,114.400629,22.702681,369,15330.0,107310.00000000001,7.000000000000001
157188,114.400987,22.702903,370,66429.99999999999,465010.0000000003,7.000000000000001
91746,114.400987,22.702903,370,64906.46515021347,454345.2560514943,7.0
157189,114.400048,22.702862,371,20439.999999999996,143080.00000000006,7.000000000000001
91747,114.400048,22.702862,371,33044.05952380952,231308.41666666666,7.0
157190,114.30272,22.721584,372,148189.99999999997,1287720.0000000002,8.689655172413794
91748,114.30272,22.721584,372,272204.89189538977,2215064.7299515773,8.13749907349754
157191,114.304213,22.720146,373,91980.0,643860.0000000001,7.000000000000001
91749,114.304213,22.720146,373,173636.0990293212,1215452.6932052483,7.0
157192,114.02327,22.551826,374,17520.0,122639.99999999999,6.999999999999999
91750,114.02327,22.551826,374,35073.6528718704,245515.5701030928,7.0
157194,114.137335,22.562451,375,5839.999999999999,40879.99999999999,6.999999999999999
91752,114.137335,22.562451,375,6680.041666666665,46760.291666666664,7.000000000000002
157195,114.103966,22.538029,376,20439.999999999996,143080.00000000006,7.000000000000001
91753,114.103966,22.538029,376,46209.82619047619,323468.7833333333,7.0
157196,113.876688,22.583731,377,15330.0,107310.00000000001,7.000000000000001
91754,113.876688,22.583731,377,34713.385137457044,242993.6959621993,7.0
157197,113.875053,22.766308,378,10220.0,71540.00000000003,7.000000000000001
157198,113.922034,22.531533,379,5839.999999999999,40879.99999999999,6.999999999999999
91755,113.922034,22.531533,379,9066.80357142857,63467.62499999999,7.0
157199,114.314467,22.599074,380,5110.0,35770.000000000015,7.000000000000001
91756,114.314467,22.599074,380,5273.938912871203,36917.57239009844,7.000000000000002
157200,113.977979,22.537978,381,0.0,0.0,0.0
91757,113.977979,22.537978,381,3341.5833333333317,23391.083333333332,7.000000000000001
157201,114.014366,22.541996,382,729.9999999999995,5109.999999999999,7.000000000000001
91758,114.014366,22.541996,382,4705.249999999998,32936.74999999999,7.000000000000002
157202,113.956657,22.546952,383,10220.0,71540.00000000003,7.000000000000001
91759,113.956657,22.546952,383,13061.344290602712,91429.41003421899,7.0
157203,114.12822,22.570986,384,5110.0,35770.000000000015,7.000000000000001
157204,114.12807,22.570852,384,5839.999999999999,40879.99999999999,6.999999999999999
91761,114.12807,22.570852,384,6730.334008345604,47219.963058419235,7.005307504179519
157205,114.126998,22.573115,385,5839.999999999999,40879.99999999999,6.999999999999999
91762,114.126998,22.573115,385,13959.55385659418,97716.87699615928,7.0
157206,114.113351,22.649804,386,5110.0,35770.000000000015,7.000000000000001
157207,114.264172,22.717114,387,5839.999999999999,40879.99999999999,6.999999999999999
157208,114.22194,22.72642,388,30660.0,214620.00000000003,7.000000000000001
91763,114.22194,22.72642,388,49894.57879234167,349262.05154639174,7.0
157209,114.128365,22.547337,389,0.0,0.0,0.0
91764,114.128365,22.547337,389,6616.0,46311.99999999999,7.0
157210,113.915536,22.511462,390,5110.0,35770.000000000015,7.000000000000001
157211,113.914747,22.511467,391,15330.0,107310.00000000001,7.000000000000001
157212,114.062839,22.631418,392,5839.999999999999,40879.99999999999,6.999999999999999
91765,114.062839,22.631418,392,5242.745932277923,36699.22152594547,7.000000000000001
157213,113.943556,22.5029,393,66429.99999999999,465010.0000000003,7.000000000000001
91767,113.943556,22.5029,393,95685.93090328913,669801.5163230239,7.0
157214,114.031562,22.536352,394,89790.0,628530.0,7.0
91768,114.031562,22.536352,394,10867.823092639117,76074.76164847382,7.0
157215,114.132008,22.591237,395,76650.0,536550.0000000001,7.000000000000001
91769,114.132008,22.591237,395,125503.36013689918,878523.5209582943,7.0
157216,114.092926,22.553181,396,0.0,0.0,0.0
157217,113.825795,22.733191,397,25550.0,178850.0000000001,7.000000000000001
91771,113.825795,22.733191,397,47991.33814432989,335939.3670103093,7.0
157218,113.932639,22.549004,398,5110.0,17885.000000000007,3.5000000000000004
91773,113.932639,22.549004,398,10230.91988536155,59941.3386574074,5.811857234731458
157219,113.957941,22.580323,399,15330.0,107310.00000000001,7.000000000000001
91774,113.957941,22.580323,399,20714.55535100638,145001.88745704465,7.0
157220,114.046228,22.530288,400,35770.000000000015,250389.99999999997,7.0
91775,114.046228,22.530288,400,64210.49538313919,449473.46768197435,7.0
157221,114.001244,22.537417,401,5839.999999999999,40879.99999999999,6.999999999999999
157443,114.00096,22.537428,401,10220.0,71540.00000000003,7.000000000000001
91776,114.001244,22.537417,401,8269.259523809522,57884.81666666666,7.0
157222,114.044307,22.567009,402,15330.0,107310.00000000001,7.000000000000001
91777,114.044307,22.567009,402,37932.41666666667,265526.9166666666,7.0
157223,113.931405,22.494167,403,20439.999999999996,143080.00000000006,7.000000000000001
91778,113.931405,22.494167,403,35841.39488217967,250889.76417525773,7.0
157225,114.043545,22.57041,404,38689.99999999999,270830.00000000006,7.0
91780,114.043545,22.57041,404,4741.20833333333,33188.45833333333,7.000000000000002
157226,113.928477,22.51441,405,5110.0,35770.000000000015,7.000000000000001
91781,113.928477,22.51441,405,6832.041666666664,44578.77083333333,6.587023942997788
157227,114.087581,22.535984,406,2919.9999999999995,20439.999999999996,6.999999999999999
91782,114.087581,22.535984,406,2767.7916666666656,19374.541666666664,7.000000000000002
157228,113.837596,22.633479,407,15330.0,107310.00000000001,7.000000000000001
91784,113.837596,22.633479,407,38573.72224862766,270016.0557403936,7.0
157229,114.056394,22.561069,408,0.0,0.0,0.0
91785,114.056394,22.561069,408,3398.6666666666656,23790.66666666666,7.000000000000001
157230,114.112734,22.534084,409,20439.999999999996,143080.00000000003,7.0
91786,114.112734,22.534084,409,5875.82892075749,41130.80244530244,7.000000000000002
157231,114.125009,22.576101,410,5110.0,35770.000000000015,7.000000000000001
91787,114.125009,22.576101,410,5106.547830047648,35745.834810333545,7.000000000000002
157232,114.106376,22.584902,411,20439.999999999996,143080.00000000006,7.000000000000001
91789,114.106376,22.584902,411,20885.75467032967,146200.28269230766,7.0
157233,114.127054,22.543792,412,186150.0,1303049.9999999998,6.999999999999999
91790,114.127054,22.543792,412,3475.249999999998,24326.749999999996,7.000000000000003
157234,114.019749,22.658889,413,186150.0,1303049.9999999998,6.999999999999999
91791,114.019749,22.658889,413,4748.495129870128,33239.465909090904,7.000000000000002
157235,114.009274,22.635842,414,5110.0,35770.000000000015,7.000000000000001
157236,114.125015,22.550237,415,10220.0,71540.00000000003,7.000000000000001
91792,114.125015,22.550237,415,7736.261904761903,54153.83333333332,7.0
157237,114.185968,22.647552,416,15330.0,107310.00000000001,7.000000000000001
157238,114.14036,22.618235,417,10220.0,71540.00000000003,7.000000000000001
91793,114.14036,22.618235,417,30941.291666666664,216589.0416666667,7.0
157239,114.066648,22.530307,418,15330.0,107310.00000000001,7.000000000000001
157240,114.192009,22.592859,419,10220.0,71540.00000000003,7.000000000000001
91795,114.192009,22.592859,419,11931.543474984928,83520.80432489452,7.0
157241,114.012555,22.535108,420,0.0,0.0,0.0
91796,114.012555,22.535108,420,2795.9166666666656,19571.416666666668,7.000000000000002
157242,113.939946,22.540639,421,5110.0,35770.000000000015,7.000000000000001
90694,113.939987,22.540473,421,11056.541666666664,38697.89583333333,3.5
91798,113.939946,22.540639,421,29728.338632360163,208098.37042652108,7.0
